variable_concept,label,machine_field,datatype_2021,datatype_2025,datatype_2026,present_2021,present_2025,present_2026,public_surface,row_level_vs_aggregate,endpoint_vs_event_history,multiplicity,overwrite_history_behavior,missingness_2021,missingness_2025,missingness_2026,semantic_continuity,semantics,authority_source
NOPD_Item,NOPD_Item,nopd_item,text,text,text,True,True,True,Data.NOLA annual Calls for Service,row-level public record,single public row endpoint,one field value per public CAD row,No public version/event history or overwrite rule located.,not established,100.0000% nonmissing,100.0000% nonmissing,Present with the same label in all three regimes.,Public CAD item identifier.,Official Data.NOLA dataset metadata and attached NOPD CFS dictionary; locked 2021 official metadata.
Type,Type,type_,text,text,text,True,True,True,Data.NOLA annual Calls for Service,row-level public record,final/current endpoint; overwrite/history behavior not public,one field value per public CAD row,No public version/event history or overwrite rule located.,not established,100.0000% nonmissing,100.0000% nonmissing,Present with the same label in all three regimes.,Final/current public incident signal code endpoint.,Official Data.NOLA dataset metadata and attached NOPD CFS dictionary; locked 2021 official metadata.
TypeText,TypeText,typetext,text,text,text,True,True,True,Data.NOLA annual Calls for Service,row-level public record,final/current endpoint; overwrite/history behavior not public,one field value per public CAD row,No public version/event history or overwrite rule located.,not established,100.0000% nonmissing,100.0000% nonmissing,Present with the same label in all three regimes.,Final/current public incident signal description endpoint.,Official Data.NOLA dataset metadata and attached NOPD CFS dictionary; locked 2021 official metadata.
InitialType,InitialType,initialtype,text,text,text,True,True,True,Data.NOLA annual Calls for Service,row-level public record,"initial endpoint; paired with final endpoint, not transition history",one field value per public CAD row,No public version/event history or overwrite rule located.,100.0000% nonmissing,100.0000% nonmissing,100.0000% nonmissing,Present with the same label in all three regimes.,Initial public incident signal code endpoint.,Official Data.NOLA dataset metadata and attached NOPD CFS dictionary; locked 2021 official metadata.
InitialTypeText,InitialTypeText,initialtypetext,text,text,text,True,True,True,Data.NOLA annual Calls for Service,row-level public record,"initial endpoint; paired with final endpoint, not transition history",one field value per public CAD row,No public version/event history or overwrite rule located.,not established,100.0000% nonmissing,100.0000% nonmissing,Present with the same label in all three regimes.,Initial public incident signal description endpoint.,Official Data.NOLA dataset metadata and attached NOPD CFS dictionary; locked 2021 official metadata.
Priority,Priority,priority,text,text,text,True,True,True,Data.NOLA annual Calls for Service,row-level public record,final/current endpoint; overwrite/history behavior not public,one field value per public CAD row,No public version/event history or overwrite rule located.,100.0000% nonmissing,100.0000% nonmissing,100.0000% nonmissing,Present with the same label in all three regimes.,Final/current priority code endpoint; current dictionary defines roots 0-3 and suffix ordering.,Official Data.NOLA dataset metadata and attached NOPD CFS dictionary; locked 2021 official metadata.
InitialPriority,InitialPriority,initialpriority,text,text,text,True,True,True,Data.NOLA annual Calls for Service,row-level public record,"initial endpoint; paired with final endpoint, not transition history",one field value per public CAD row,No public version/event history or overwrite rule located.,not established,100.0000% nonmissing,100.0000% nonmissing,Present with the same label in all three regimes.,Initial priority code endpoint; current dictionary directs users to Priority semantics.,Official Data.NOLA dataset metadata and attached NOPD CFS dictionary; locked 2021 official metadata.
TimeCreate,TimeCreate,timecreate,calendar_date,text,text,True,True,True,Data.NOLA annual Calls for Service,row-level public record,single recorded stage timestamp; not stage-event history,one field value per public CAD row,No public version/event history or overwrite rule located.,100.0000% nonmissing,100.0000% nonmissing,100.0000% nonmissing,Present in all three regimes; 2025/2026 timestamp storage changed from calendar_date to text.,Timestamp when the CAD record was created.,Official Data.NOLA dataset metadata and attached NOPD CFS dictionary; locked 2021 official metadata.
TimeDispatch,TimeDispatch,timedispatch,calendar_date,text,text,True,True,True,Data.NOLA annual Calls for Service,row-level public record,single recorded stage timestamp; not stage-event history,one field value per public CAD row,No public version/event history or overwrite rule located.,75.4533% nonmissing,41.7955% nonmissing,41.8755% nonmissing,Present in all three regimes; 2025/2026 timestamp storage changed from calendar_date to text.,Timestamp entered when an officer was dispatched.,Official Data.NOLA dataset metadata and attached NOPD CFS dictionary; locked 2021 official metadata.
TimeArrive,TimeArrive,timearrive,calendar_date,text,text,True,True,True,Data.NOLA annual Calls for Service,row-level public record,single recorded stage timestamp; not stage-event history,one field value per public CAD row,No public version/event history or overwrite rule located.,86.9061% nonmissing,83.7199% nonmissing,84.1447% nonmissing,Present in all three regimes; 2025/2026 timestamp storage changed from calendar_date to text.,Timestamp entered when an officer arrived.,Official Data.NOLA dataset metadata and attached NOPD CFS dictionary; locked 2021 official metadata.
TimeClosed,TimeClosed,timeclosed,calendar_date,text,text,True,True,True,Data.NOLA annual Calls for Service,row-level public record,single recorded stage timestamp; not stage-event history,one field value per public CAD row,No public version/event history or overwrite rule located.,100.0000% nonmissing,100.0000% nonmissing,100.0000% nonmissing,Present in all three regimes; 2025/2026 timestamp storage changed from calendar_date to text.,Timestamp when the CAD item was closed.,Official Data.NOLA dataset metadata and attached NOPD CFS dictionary; locked 2021 official metadata.
Disposition,Disposition,disposition,text,text,text,True,True,True,Data.NOLA annual Calls for Service,row-level public record,final/current endpoint; overwrite/history behavior not public,one field value per public CAD row,No public version/event history or overwrite rule located.,not established,100.0000% nonmissing,100.0000% nonmissing,Present with the same label in all three regimes.,Final/current public disposition code endpoint.,Official Data.NOLA dataset metadata and attached NOPD CFS dictionary; locked 2021 official metadata.
DispositionText,DispositionText,dispositiontext,text,text,text,True,True,True,Data.NOLA annual Calls for Service,row-level public record,final/current endpoint; overwrite/history behavior not public,one field value per public CAD row,No public version/event history or overwrite rule located.,not established,100.0000% nonmissing,100.0000% nonmissing,Present with the same label in all three regimes.,Final/current public disposition label endpoint.,Official Data.NOLA dataset metadata and attached NOPD CFS dictionary; locked 2021 official metadata.
SelfInitiated,SelfInitiated,selfinitiated,text,text,text,True,True,True,Data.NOLA annual Calls for Service,row-level public record,single public row endpoint,one field value per public CAD row,No public version/event history or overwrite rule located.,100.0000% nonmissing,100.0000% nonmissing,100.0000% nonmissing,Present with the same label in all three regimes.,Whether an officer generated the item in the field rather than responding to a 911 call.,Official Data.NOLA dataset metadata and attached NOPD CFS dictionary; locked 2021 official metadata.
